text	passage	paragraph	offset	before	after	evidence_edition	kind
horace--carm3	4	32	0	amdudum	iamdudum	perseus--phi0893.phi001.perseus-lat2	replace
horace--carm4	1	46	90	fedelibus	fidelibus	perseus--phi0893.phi001.perseus-lat2	replace
horace--carm4	1	57	97	falletet	falleret	perseus--phi0893.phi001.perseus-lat2	replace
horace--ep	2	5	552	povoces	provoces	perseus--phi0893.phi003.perseus-lat2	replace
horace--epist1	2	7	866	parpertate	paupertate	perseus--phi0893.phi005.perseus-lat2	replace
horace--epist1	3	1	2258	parestat	praestat	perseus--phi0893.phi005.perseus-lat2	replace
horace--epist1	4	1	190	contunderit	contuderit	perseus--phi0893.phi005.perseus-lat2	replace
horace--epist1	5	3	1173	tebus	rebus	perseus--phi0893.phi005.perseus-lat2	replace
horace--epist1	6	1	1388	chlanidem	chlamydem	perseus--phi0893.phi005.perseus-lat2	replace
horace--epist1	7	1	4601	tanquillet	tranquillet	perseus--phi0893.phi005.perseus-lat2	replace
horace--epist1	7	3	414	cessuere	cessauere	perseus--phi0893.phi005.perseus-lat2	replace
horace--epist2	4	1	2033	opturem	obturem	perseus--phi0893.phi005.perseus-lat2	replace
horace--serm1	3	1	1906	Hagnae	Agnae	perseus--phi0893.phi004.perseus-lat2	replace
horace--serm1	4	1	3203	Sulgi	Sulci	perseus--phi0893.phi004.perseus-lat2	replace
horace--serm1	7	1	1731	ÄIulius	Iulius	perseus--phi0893.phi004.perseus-lat2	replace
jerome--epistulae	2	2	53	focilatur	fodiatur	perseus--stoa0162.stoa004.perseus-lat2	replace
jerome--epistulae	4	8	471	miseretis	miseritis	perseus--stoa0162.stoa004.perseus-lat2	replace
jerome--epistulae	4	10	373	contigat	contingat	perseus--stoa0162.stoa004.perseus-lat2	replace
juvenal--1	1	2	4619	dubitemur	dubitemue	perseus--phi1276.phi001.perseus-lat2	replace
juvenal--1	1	2	3398	extrapocula	extra pocula	perseus--phi1276.phi001.perseus-lat2	split
juvenal--10	3	1	4139	formonsissimus	formosissimus	perseus--phi1276.phi001.perseus-lat2	replace
juvenal--6	4	1	4490	exortata	exorata	perseus--phi1276.phi001.perseus-lat2	replace
livy--liv.31	2	1	1087	Sapunto	Sagunto	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.33	10	7	652	traicisse	traiecisse	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.34	5	2	1337	detractator	detrectator	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.34	16	1	426	Lepcis	Leptis	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.35	9	2	1121	accierunt	adierunt	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.38	2	4	457	decurrererunt	decurrerunt	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.39	8	1	479	continedos	continendos	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.39	12	1	318	Nobilio	Nobilior	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.42	4	5	478	facinerum	facinorum	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.42	5	3	315	uageretur	uagaretur	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.42	7	2	473	exciuibus	ex ciuibus	perseus--phi0914.phi001.perseus-lat5	split
livy--liv.42	11	1	977	facinerum	facinorum	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.42	11	2	407	unusquilibet	unus quilibet	perseus--phi0914.phi001.perseus-lat5	split
livy--liv.42	14	4	553	ignoruntium	ignorantium	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.43	2	1	523	monstarent	monstrarent	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.44	9	1	1679	consultandium	consultandum	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.45	3	3	1165	amoenibus	a moenibus	perseus--phi0914.phi001.perseus-lat5	split
livy--liv.45	10	1	1244	iuuenisset	inuenisset	perseus--phi0914.phi001.perseus-lat5	replace
livy--liv.45	12	2	166	plaustorum	plaustrorum	perseus--phi0914.phi001.perseus-lat5	replace
lucan--lucan10	2	1	2885	neclecte	neglecte	perseus--phi0917.phi001.perseus-lat2	replace
lucan--lucan2	2	1	550	neclectum	neglectum	perseus--phi0917.phi001.perseus-lat2	replace
lucan--lucan2	3	1	3032	complossas	compressas	perseus--phi0917.phi001.perseus-lat2	replace
lucan--lucan2	5	1	3740	ecfunditur	effunditur	perseus--phi0917.phi001.perseus-lat2	replace
lucan--lucan9	6	1	4869	Gorgonos	Gorgonis	perseus--phi0917.phi001.perseus-lat2	replace
lucan--lucan9	6	1	4189	Gorgonos	Gorgonis	perseus--phi0917.phi001.perseus-lat2	replace
martial--mart1	2	15	59	quareret	quaereret	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart1	2	22	701	inligatatas	inligatas	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart1	2	22	194	dilicati	delicati	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart1	4	3	362	perneuerit	peruenerit	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart1	4	14	357	sumptusiora	sumptuosiora	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart1	5	4	52	mitatur	miratur	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart11	1	5	242	Iectores	Lectores	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart11	1	17	127	arbole	arbore	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart11	1	17	11	nesterni	hesterni	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart11	2	17	566	paropsidasque	paropsidesque	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart11	2	17	463	bellarius	cellarius	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart11	3	10	183	Deccare	Peccare	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart11	4	51	44	acertos	lacertos	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart13	1	20	10	simulae	similae	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart13	2	91	62	commodia	commodiora	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart2	1	17	201	petundur	petuntur	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart2	2	4	141	agelllum	agellum	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart2	2	25	182	chrydendeta	chrysendeta	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart3	1	20	231	dereriore	deteriore	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart3	4	3	954	tustorque	ustorque	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart4	3	1	223	plaestras	palaestras	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart4	3	5	132	reguit	riguit	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart5	1	8	118	senctam	senectam	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart5	1	20	508	uxuria	luxuria	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart5	1	20	470	flammatisue	flammarisue	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart5	2	16	831	lucupletem	locupletem	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart5	3	11	138	fictibus	fictilibus	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart6	3	11	81	tonsit	tonsis	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart7	2	22	283	reganator	regnator	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart7	3	8	107	mandidoque	madidoque	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart7	4	10	131	similen	similem	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart7	4	18	193	uerbaratus	uerberatus	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart8	1	9	605	torcumata	toreumata	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart8	1	13	58	Lucrifecit	Lucri fecit	perseus--phi1294.phi002.perseus-lat2	split
martial--mart8	1	26	87	lcuis	leuis	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart8	2	3	298	sacuior	saeuior	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart8	2	6	373	lcuiter	leuiter	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart8	2	9	362	Phocbi	Phoebi	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart8	2	17	489	plutcum	pluteum	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart8	3	1	212	niucum	niueum	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart9	1	3	297	Iocuto	Locuto	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart9	2	7	293	intenus	interius	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart9	2	27	174	Iubrica	Lubrica	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart9	2	35	104	Deiphis	Delphis	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart9	3	21	332	FIacce	Flacce	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart9	3	25	434	lacemis	lacernis	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart9	4	23	290	apsentemque	absentemque	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart9	4	23	24	cemitis	cernitis	perseus--phi1294.phi002.perseus-lat2	replace
martial--mart9	5	19	54	Iateri	Lateri	perseus--phi1294.phi002.perseus-lat2	replace
minucius	12	5	1283	innnocentiam	innocentiam	perseus--stoa0203.stoa001.perseus-lat2	replace
nepos--nepos.att	4	1	797	ultumis	ultimis	perseus--phi0588.abo025.perseus-lat2	replace
nepos--nepos.epam	2	2	646	imperatoren	imperatorem	perseus--phi0588.abo015.perseus-lat2	replace
nepos--nepos.epam	2	4	1039	feisse	fuisse	perseus--phi0588.abo015.perseus-lat2	replace
nepos--nepos.lys	1	2	1031	unaquaque	una quaque	perseus--phi0588.abo006.perseus-lat2	split
nepos--nepos.phoc	1	5	799	feit	fuit	perseus--phi0588.abo019.perseus-lat2	replace
ovid--ovid.fasti5	1	4	1883	adclivi	acclini	perseus--phi0959.phi007.perseus-lat2	replace
ovid--ovid.her11	1	5	3432	rapidarum	rabidarum	perseus--phi0959.phi002.perseus-lat2	replace
ovid--ovid.her12	1	3	11	comtempta	contempta	perseus--phi0959.phi002.perseus-lat2	replace
ovid--ovid.her19	2	1	826	etn	en	perseus--phi0959.phi002.perseus-lat2	replace
ovid--ovid.her20	1	3	26	namen	nomen	perseus--phi0959.phi002.perseus-lat2	replace
ovid--ovid.her7	1	5	5401	Didon	Dido	perseus--phi0959.phi002.perseus-lat2	replace
ovid--ovid.her7	1	5	42	Didon	Dido	perseus--phi0959.phi002.perseus-lat2	replace
ovid--ovid.her9	1	4	820	sturpi	turpi	perseus--phi0959.phi002.perseus-lat2	replace
ovid--ovid.met14	4	1	3292	vincinaque	vicinaque	perseus--phi0959.phi006.perseus-lat2	replace
ovid--ovid.met7	3	1	5217	crurorem	cruorem	perseus--phi0959.phi006.perseus-lat2	replace
ovid--ovid.tristia2	3	1	4597	uirunique	uirumque	perseus--phi0959.phi008.perseus-lat2	replace
ovid--ovid.tristia5	4	1	1744	annuerimque	adnuerimque	perseus--phi0959.phi008.perseus-lat2	replace
petronius1	3	1	1117	saenit	saeuit	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	6	6	611	caryatis	caryotis	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	6	7	563	caryatas	caryotas	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	7	2	882	oracularios	oricularios	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	7	3	2045	exrabant	exorabant	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	7	4	2042	licuius	alicuius	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	8	2	251	maleicorium	malicorium	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	9	6	387	acroemata	acroamata	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	9	13	33	deiciehat	deiciebat	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	12	1	483	sciribilita	scriblita	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	12	1	404	sciribilita	scriblita	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	12	3	503	circulatum	circumlatum	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	12	11	201	palumbam	palumbum	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	15	4	191	abscindam	abscidam	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	15	5	148	certitis	uertitis	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	17	2	672	lmmo	immo	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	18	7	136	tumosam	fumosam	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	19	3	430	anhelilu	anhelitu	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	19	5	2028	circuiturum	circumiturum	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	20	7	239	concuxi	concoxi	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	21	3	1683	adbscissurum	abscisurum	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	22	2	521	insipitum	insignitum	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	24	1	662	negotatio	negotiatio	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	24	1	71	divitationis	divinationis	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	24	2	151	detractator	detrectator	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	24	3	510	intrenti	ingenti	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	26	1	2286	regumen	regimen	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	26	1	1733	miserable	miserabile	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	27	3	344	Eoden	Eodem	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	27	14	411	prolulit	protulit	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	29	5	785	calcumentorum	calceamentorum	perseus--phi0972.phi001.perseus-lat2	replace
petronius1	30	4	794	dislulit	distulit	perseus--phi0972.phi001.perseus-lat2	replace
petroniusfrag	1	46	252	didiunctus	disiunctus	perseus--phi0972.phi001p.perseus-lat1	replace
petroniusfrag	1	58	254	referare	reserare	perseus--phi0972.phi001p.perseus-lat1	replace
petroniusfrag	1	58	166	simulatius	cumulatius	perseus--phi0972.phi001p.perseus-lat1	replace
plautus--cas	1	14	1164	fenestramfirmiter	fenestram firmiter	perseus--phi0119.phi006.perseus-lat2	split
plautus--cas	1	14	903	taceruom	aceruom	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	2	1	167	querellls	querellas	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	2	5	179	lituntur	utuntur	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	3	4	87	mlhi	mihi	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	3	9	485	ameici	amici	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	4	1	391	eenses	censes	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	4	2	912	nuna	nunc	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	4	5	332	facitodum	facito dum	perseus--phi0119.phi006.perseus-lat2	split
plautus--cas	4	13	983	offLciumst	officiumst	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	4	15	893	missurun	missurusne	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	5	1	158	espetam	expetam	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	5	2	862	discipinam	disciplinam	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	5	11	223	hortatar	hortatur	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	5	15	252	eccem	eccum	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	5	15	144	possuma	pessuma	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	6	10	59	hiuc	hinc	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	6	14	157	llico	ilico	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	6	16	49	pereutit	percutit	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	6	16	29	peetus	pectus	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	7	1	767	seiens	sciens	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	7	2	684	dlcitis	dicitis	perseus--phi0119.phi006.perseus-lat2	replace
plautus--cas	7	2	493	tdicta	dicta	perseus--phi0119.phi006.perseus-lat2	replace
plautus--menaechmi	6	7	1559	siam	iam	perseus--phi0119.phi010.perseus-lat2	replace
pliny.ep2	6	1	332	abdicitque	abditique	perseus--phi1318.phi001.perseus-lat1	replace
pliny.ep9	2	7	1715	ÎOmnia	Omnia	perseus--phi1318.phi001.perseus-lat1	replace
pliny.nh1	1	3	1291	tonitiribus	tonitribus	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	1	3	897	caelestibusde	caelestibus de	perseus--phi0978.phi001.perseus-lat2	split
pliny.nh1	1	3	738	caelstibus	caelestibus	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	2	11	107	Asionio	Asinio	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	3	6	162	Seeca	Seneca	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	4	1	541	notitita	notitia	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	5	1	652	iminica	inimica	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	6	3	496	Diagor	Diagora	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	6	6	677	charatae	chartae	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	6	11	582	labursca	labrusca	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	7	6	3167	Agamemenone	Agamemnone	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	10	1	3949	canthemis	anthemis	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	11	1	1310	fruex	frutex	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	16	1	808	salubirtate	salubritate	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	16	6	1046	observatones	observationes	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	17	1	407	postiae	positae	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	17	1	307	santiquas	antiquas	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	17	3	193	marabilia	mirabilia	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	18	2	17	Vcarrone	Varrone	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	19	1	3523	sideropeocilos	sideropoecilos	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	19	1	1731	apisatis	aspisatis	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh1	19	1	78	scaptores	scalptores	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	1	6	456	convexu	convexus	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	1	13	16	caleumque	caelumque	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	2	6	192	mortalies	mortales	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	2	8	167	deicdere	decidere	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	2	9	393	obliquiatem	obliquitatem	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	2	11	152	crtum	certum	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	2	15	85	congominibus	cognominibus	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	2	20	94	remdium	remedium	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	3	9	478	dconditae	conditae	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	3	12	98	primare	primaue	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	3	13	286	heetari	hebetari	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	3	14	127	semunicas	semuncias	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	4	1	432	verspertinamque	vespertinamque	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	4	1	186	inequuntur	insequuntur	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	5	1	115	sidre	sidere	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	5	2	45	aigno	signo	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	5	4	48	dimidos	dimidios	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	5	9	711	donstet	constet	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	5	13	193	hsipidas	hispidas	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	6	5	712	caperete	caperet	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	6	8	84	speiceae	spiceae	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	7	3	233	coneiectu	coniectu	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	7	14	411	indifgenarum	indigenarum	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	8	1	655	quilo	aquilo	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	8	2	393	nomie	nomine	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	8	8	253	praeterqueam	praeterquam	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	8	11	580	adperuvere	adaperuere	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	8	14	147	vertiigne	vertigine	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	8	14	47	gelidia	gelida	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	9	6	409	sdacra	sacra	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	9	9	91	aequinocatialem	aequinoctialem	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	9	10	113	dictori	dictatori	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	10	6	421	havente	habente	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	10	10	327	exprobato	exprobrato	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	11	5	108	ermeigatus	eremigatus	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	11	6	129	exterea	extera	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	11	8	321	bastae	uastae	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	11	8	248	aplitudinis	amplitudinis	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	11	10	212	viciono	vicino	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	11	11	411	exercimus	exercemus	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	11	13	377	hisi	nisi	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	12	4	967	solstitum	solstitium	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	12	4	105	utantibus	mutantibus	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	12	5	50	Aethipum	Aethiopum	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	12	6	87	Onesiciritus	Onesicritus	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	12	6	42	adnotantum	adnotatum	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	13	1	525	ferevente	fervente	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	13	1	243	comitaturqe	comitaturque	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	13	1	222	curu	cursu	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	13	8	50	mareis	maris	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	13	13	19	Oridum	Oricum	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	14	3	632	nomora	nemora	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	14	5	410	incalciamento	in calciamento	perseus--phi0978.phi001.perseus-lat2	split
pliny.nh2	14	9	306	oongius	longius	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	14	11	425	cluaduntur	clauduntur	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	15	3	320	culces	dulces	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	15	5	606	Rtubro	Rubro	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	16	5	314	repertiur	reperitur	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	16	6	294	alerius	ualerius	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh2	16	12	141	subtitlitate	subtilitate	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	1	4	357	veco	vico	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	1	4	200	dexterea	dextera	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	1	11	693	destra	dextra	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	2	2	347	fluminem	fluminum	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	2	3	54	Gadix	Gadis	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	3	7	170	deumelecta	deum electa	perseus--phi0978.phi001.perseus-lat2	split
pliny.nh3	5	3	540	insiginis	insignis	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	5	6	257	Columnia	Columna	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	5	9	17	hanec	haec	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	5	20	420	Pachymum	Pachynum	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	6	14	343	prmis	primis	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	7	4	106	Vacunaenemora	Vacunae nemora	perseus--phi0978.phi001.perseus-lat2	split
pliny.nh3	7	5	49	mutitudinis	multitudinis	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	8	2	371	originiem	originem	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	8	12	109	muicipis	municipis	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh3	9	3	377	cognomins	cognominis	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	1	2	257	ealio	alio	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	1	4	156	praetendentur	praetenduntur	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	1	7	482	ainu	sinu	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	1	11	255	Demeterius	Demetrius	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	2	5	14	citiates	ciuitates	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	2	6	25	Hella	Hellas	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	3	5	213	pssesso	possesso	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	3	13	267	Aprox	Apros	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	3	14	22	Isthmios	Isthmos	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	4	11	225	distants	distans	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	4	13	132	Chalcie	Chalcide	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	5	1	277	unguneto	unguento	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	5	13	446	ignotic	ignoti	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	5	13	114	grippa	agrippa	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	6	5	157	careuleo	caeruleo	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	6	6	298	autmnum	autumnum	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	6	7	318	serer	serere	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	6	8	27	genete	gente	perseus--phi0978.phi001.perseus-lat2	replace
pliny.nh4	6	15	90	mesnura	mensura	perseus--phi0978.phi001.perseus-lat2	replace
